URL|Entropy|BagOfWords|ContainsIP|LengthURL|SpecialChars|SuspiciousStrings|NumberOfDigits|Popularity|Safebrowsing|Malicious
http://www.businesspage.ecuaradionline.com/9feaf7f8354ad68ba40e29d70cd05405/|4.603980434631428|5|0|69|0|0|19|0|1|1
http://businesspage.ecuaradionline.com/|3.9056390622295662|3|0|32|0|0|0|0|1|1
http://www.lotto109.com/follow-up/eb6e30faeebb16feaf07ae96e6e2e821/|4.229085753935212|6|0|60|0|0|17|0|1|1
http://businesspage.ecuaradionline.com/b0028c287609714d60df89942ca88094/|4.518543105923002|4|0|65|0|0|25|0|1|1
http://businesspageshop.businesspage.ecuaradionline.com/bc955836ebda3b915ae2cc804f4046ba/|4.516677499733316|5|0|82|0|0|18|0|1|1
http://businesspage.ecuaradionline.com/7152cc9e332ccb53dfcafe2230b16749/|4.511893821222547|4|0|65|0|0|19|0|1|1
http://www.trusturman.com/wp-content/js/TBMJAN092017/bc60345467b6c139fbfd47c8cd367b4a/login.php?cmd=login_submit&id=f7529e5d84141562df09b9a3566b1997f7529e5d84141562df09b9a3566b1997&session=f7529e5d84141562df09b9a3566b1997f7529e5d84141562df09b9a3566b1997|4.910516087025875|15|0|246|1|1|121|0|1|1
http://www.zahirhome.ro/fr/impo/f482efae545145c19939d7fd888d584a|4.36536825115168|6|0|57|0|0|21|0|1|1
http://www.mobile.free.moncompte.freemokx.beget.tech/freemobilemoncompte/72298b1ccb802abda895538e09564f3c|4.54420269777428|9|0|98|0|1|21|0|1|1
http://www.andoburg.com/concept/dropboxnew/dropbox/a42c50b810d38dedbcd0250bb05944e9|4.380188410510684|7|0|76|0|0|19|0|0|1
http://www.bloggingfornetworking.com/lmages/5cc736e512bedaa75178cda1b9bb8640|4.655787776234292|5|0|69|0|0|18|0|1|1
http://www.bloggingfornetworking.com/lmages/57f42d0d56a0d5ac8e6762b3bcfe2a23|4.617309196059603|5|0|69|0|0|18|0|1|1
http://kaposfose.hu/cl/indexa.php?P=_93894574342hdfjsixaoweue5_j1489738549283781331983743fncn_Product-UserID&id=|5.0138398654630185|8|0|105|1|0|37|0|1|1
http://www.mobile.free.moncompte.freemokx.beget.tech/freemobilemoncompte/0718535467368ebcaa0c76b3511e8f97|4.493081310326647|9|0|98|0|1|23|0|1|1
http://www.trusturman.com/wp-content/js/TBMJAN092017/cb18cc3e0b57d43c57603e064fc385b4/login.php?cmd=login_submit&id=53e80d7d9582ed403bffe6caa65118f253e80d7d9582ed403bffe6caa65118f2&session=53e80d7d9582ed403bffe6caa65118f253e80d7d9582ed403bffe6caa65118f2|4.95207668953418|15|0|246|1|1|102|0|1|1
